Auction,From,State,Loc,,Country,To,Car,Motorcycle,Pickup,SUV,Travel trailer,
Adesa,St. John's - Adesa - Newfoundland and Lab - Adesa,Newfoundland and Labrador,NL - St. John'S ,NL,Canada,Toronto,1800,1650,1950,1800,,St. John'S 
Adesa,Toronto - Adesa - Ontario - Adesa,Ontario,ON - Toronto ,ON,Canada,Toronto,200,175,350,200,,Toronto 
Adesa,Vancouver - Adesa - British Columbia - Adesa,British Columbia,BC - Vancouver ,BC,Canada,Toronto,1950,1800,2150,1950,,Vancouver 
Adesa,Winnipeg - Adesa - Manitoba - Adesa,Manitoba,MB - Winnipeg ,MB,Canada,Toronto,1300,1150,1550,1300,,Winnipeg 
Adesa,Birmingham - Alabama - Adesa,Alabama,AL - Birmingham ,AL,USA,Savannah,375,325,,,,Birmingham 
Adesa,Calgary - Alberta - Adesa,Alberta,AB - Calgary ,AB,Canada,Toronto,1450,1300,1650,1450,,Calgary 
Adesa,Edmonton - Alberta - Adesa,Alberta,AB - Edmonton ,AB,Canada,Toronto,1450,1300,1650,1450,,Edmonton 
Adesa,Phoenix - Arizona - Adesa,Arizona,AZ - Phoenix ,AZ,USA,Los Angeles,350,300,,,,Phoenix 
Adesa,Little Rock - Arkansas - Adesa,Arkansas,AR - Little Rock ,AR,USA,Houston,450,350,,,,Little Rock 
Adesa,Brasher's - California - Adesa,California,CA - Brasher'S ,CA,USA,Los Angeles,400,,,,,Brasher'S 
Adesa,Brasher's Sacramento Auto Auction - California - Adesa,California,CA - Brasher'S Sacramento Auto Auction ,CA,USA,Los Angeles,400,300,,,,Brasher'S Sacramento Auto Auction 
Adesa,Fresno - California - Adesa,California,CA - Fresno ,CA,USA,Los Angeles,350,250,,,,Fresno 
Adesa,Golden Gate - California - Adesa,California,CA - Golden Gate ,CA,USA,Los Angeles,400,300,,,,Golden Gate 
Adesa,Los Angeles - California - Adesa,California,CA - Los Angeles ,CA,USA,Los Angeles,150,150,,,,Los Angeles 
Adesa,Manheim San Francisco Bay - California - Adesa,California,CA - Manheim San Francisco Bay ,CA,USA,Los Angeles,400,300,,,,Manheim San Francisco Bay 
Adesa,Manheim Southern California - California - Adesa,California,CA - Manheim Southern California ,CA,USA,Los Angeles,175,175,,,,Manheim Southern California 
Adesa,Sacramento - California - Adesa,California,CA - Sacramento ,CA,USA,Los Angeles,400,300,,,,Sacramento 
Adesa,San Diego - California - Adesa,California,CA - San Diego ,CA,USA,Los Angeles,230,150,,,,San Diego 
Adesa,Colorado Springs - Colorado - Adesa,Colorado,CO - Colorado Springs ,CO,USA,Chicago,650,500,,,,Colorado Springs 
Adesa,Jacksonville - Florida - Adesa,Florida,FL - Jacksonville ,FL,USA,Savannah,225,175,,,,Jacksonville 
Adesa,Ocala - Florida - Adesa,Florida,FL - Ocala ,FL,USA,Miami,300,275,,,,Ocala 
Adesa,Orlando - Florida - Adesa,Florida,FL - Orlando ,FL,USA,Miami,250,,,,,Orlando 
Adesa,Sarasota - Florida - Adesa,Florida,FL - Sarasota ,FL,USA,Miami,250,225,,,,Sarasota 
Adesa,Tampa - FL - Adesa - Florida - Adesa,Florida,FL - Tampa ,FL,USA,Miami,250,225,,,,Tampa 
Adesa,Atlanta - Georgia - Adesa,Georgia,GA - Atlanta ,GA,USA,Savannah,275,225,,,,Atlanta 
Adesa,Boise - Idaho - Adesa,Idaho,ID - Boise ,ID,USA,Seattle,450,450,,,,Boise 
Adesa,Chicago - Illinois - Adesa,Illinois,IL - Chicago ,IL,USA,Chicago,180,,,,,Chicago 
Adesa,Indianapolis - Indiana - Adesa,Indiana,IN - Indianapolis ,IN,USA,Chicago,300,250,,,,Indianapolis 
Adesa,Indianapolis -IN- Adesa - Indiana - Adesa,Indiana,IN - Indianapolis ,IN,USA,Chicago,300,250,,,,Indianapolis 
Adesa,Des Moines - Iowa - Adesa,Iowa,IA - Des Moines ,IA,USA,Chicago,400,300,,,,Des Moines 
Adesa,Lexington - Kentucky - Adesa,Kentucky,KY - Lexington ,KY,USA,Chicago,425,,,,,Lexington 
Adesa,Shreveport - LA - Adesa - Louisiana - Adesa,Louisiana,LA - Shreveport ,LA,USA,Houston,315,225,,,,Shreveport 
Adesa,Boston - Massachusetts - Adesa,Massachusetts,MA - Boston ,MA,USA,Newark,375,250,,,,Boston 
Adesa,Concord - Massachusetts - Adesa,Massachusetts,MA - Concord ,MA,USA,Newark,375,250,,,,Concord 
Adesa,Flint - Michigan - Adesa,Michigan,MI - Flint ,MI,USA,Chicago,450,,,,,Flint 
Adesa,Great Lakes - Michigan - Adesa,Michigan,MI - Great Lakes ,MI,USA,Chicago,450,400,,,,Great Lakes 
Adesa,Lansing - Michigan - Adesa,Michigan,MI - Lansing ,MI,USA,Chicago,400,300,,,,Lansing 
Adesa,Minneapolis - Minnesota - Adesa,Minnesota,MN - Minneapolis ,MN,USA,Chicago,450,350,,,,Minneapolis 
Adesa,Kansas City - Missouri - Adesa,Missouri,MO - Kansas City ,MO,USA,Savannah,625,450,,,,Kansas City 
Adesa,St. Louis - MO - Adesa - Missouri - Adesa,Missouri,MO - St. Louis ,MO,USA,Savannah,575,,,,,St. Louis 
Adesa,Las Vegas - Nevada - Adesa,Nevada,NV - Las Vegas ,NV,USA,Los Angeles,325,250,,,,Las Vegas 
Adesa,Reno - Nevada - Adesa,Nevada,NV - Reno ,NV,USA,Los Angeles,450,,,,,Reno 
Adesa,Moncton - New Brunswick - Adesa,New Brunswick,NB - Moncton ,NB,Canada,Toronto,1200,1100,1450,1200,,Moncton 
Adesa,Buffalo - New Jersey - Adesa,New Jersey,NJ - Buffalo ,NJ,USA,Newark,500,375,,,,Buffalo 
Adesa,New Jersey - New Jersey - Adesa,New Jersey,NJ - New Jersey ,NJ,USA,Newark,150,,,,,New Jersey 
Adesa,Long Island - New York - Adesa,New York,NY - Long Island ,NY,USA,Newark,250,190,,,,Long Island 
Adesa,Syracuse - NY - Adesa - New York - Adesa,New York,NY - Syracuse ,NY,USA,Newark,325,275,,,,Syracuse 
Adesa,Charlotte - North Carolina - Adesa,North Carolina,NC - Charlotte ,NC,USA,Norfolk,300,250,,,,Charlotte 
Adesa,Raleigh - North Carolina - Adesa,North Carolina,NC - Raleigh ,NC,USA,Norfolk,300,250,,,,Raleigh 
Adesa,Fargo - North Dakota - Adesa,North Dakota,ND - Fargo ,ND,USA,Chicago,650,500,,,,Fargo 
Adesa,Halifax - Nova Scotia - Adesa,Nova Scotia,NS - Halifax ,NS,Canada,Toronto,1100,1000,1250,1100,,Halifax 
Adesa,COLUMBUS FAIR AUTO AUCTION - Ohio - Adesa,Ohio,OH - Columbus Fair Auto Auction ,OH,USA,Norfolk,550,400,,,,Columbus Fair Auto Auction 
Adesa,Cincinnati / Dayton - Ohio - Adesa,Ohio,OH - Cincinnati / Dayton ,OH,USA,Norfolk,550,400,,,,Cincinnati / Dayton 
Adesa,Cleveland - Ohio - Adesa,Ohio,OH - Cleveland ,OH,USA,Norfolk,550,400,,,,Cleveland 
Adesa,Queen City - Ohio - Adesa,Ohio,OH - Queen City ,OH,USA,Norfolk,550,400,,,,Queen City 
Adesa,Tulsa - OK - Adesa - Oklahoma - Adesa,Oklahoma,OK - Tulsa ,OK,USA,Houston,475,375,,,,Tulsa 
Adesa,Kitchener - Ontario - Adesa,Ontario,ON - Kitchener ,ON,Canada,Toronto,250,250,400,250,,Kitchener 
Adesa,Ottawa - Ontario - Adesa,Ontario,ON - Ottawa ,ON,Canada,Toronto,450,425,600,450,,Ottawa 
Adesa,NORTHWEST - Oregon - Adesa,Oregon,OR - Northwest ,OR,USA,Seattle,375,375,,,,Northwest 
Adesa,Portland - Oregon - Adesa,Oregon,OR - Portland ,OR,USA,Seattle,325,,,,,Portland 
Adesa,Mercer - Pennsylvania - Adesa,Pennsylvania,PA - Mercer ,PA,USA,Newark,450,325,,,,Mercer 
Adesa,Pennsylvania - Pennsylvania - Adesa,Pennsylvania,PA - Pennsylvania ,PA,USA,Newark,275,225,,,,Pennsylvania 
Adesa,Pittsburgh - Pennsylvania - Adesa,Pennsylvania,PA - Pittsburgh ,PA,USA,Newark,400,300,,,,Pittsburgh 
Adesa,Montreal - Quebec - Adesa,Quebec,QC - Montreal ,QC,Canada,Toronto,475,400,575,475,,Montreal 
Adesa,Quebec - Quebec - Adesa,Quebec,QC - Quebec ,QC,Canada,Toronto,750,550,850,750,,Quebec 
Adesa,Saskatoon - Saskatchewan - Adesa,Saskatchewan,SK - Saskatoon ,SK,Canada,Toronto,1450,1300,1650,1450,,Saskatoon 
Adesa,Sioux Falls - SD - Adesa - South Dakota - Adesa,South Dakota,SD - Sioux Falls ,SD,USA,Chicago,650,550,,,,Sioux Falls 
Adesa,East Tennessee - Tennessee - Adesa,Tennessee,TN - East Tennessee ,TN,USA,Savannah,450,,,,,East Tennessee 
Adesa,Knoxville - Tennessee - Adesa,Tennessee,TN - Knoxville ,TN,USA,Savannah,400,,,,,Knoxville 
Adesa,Memphis - Tennessee - Adesa,Tennessee,TN - Memphis ,TN,USA,Savannah,500,425,,,,Memphis 
Adesa,Nashville - Tennessee - Adesa,Tennessee,TN - Nashville ,TN,USA,Savannah,400,350,,,,Nashville 
Adesa,Austin - Texas - Adesa,Texas,TX - Austin ,TX,USA,Houston,250,175,,,,Austin 
Adesa,Dallas - Texas - Adesa,Texas,TX - Dallas ,TX,USA,Houston,275,185,,,,Dallas 
Adesa,Houston - Texas - Adesa,Texas,TX - Houston ,TX,USA,Houston,180,100,,,,Houston 
Adesa,San Antonio - Texas - Adesa,Texas,TX - San Antonio ,TX,USA,Houston,300,200,,,,San Antonio 
Adesa,Salt Lake City - Utah - Adesa,Utah,UT - Salt Lake City ,UT,USA,Los Angeles,600,,,,,Salt Lake City 
Adesa,Washington DC - VA - Adesa - Virginia - Adesa,District of Columbia,DC - Washington Dc ,DC,USA,Norfolk,300,250,,,,Washington Dc 
Adesa,Seattle - WA - Adesa - Washington - Adesa,Washington,WA - Seattle ,WA,USA,Seattle,175,175,,,,Seattle 
